question,option_a,option_b,option_c,option_d,correct_answer,image
پیچھے آتی گاڑی بہت قریب ہو تو؟,اوورٹیک کریں,رفتار کم اور دائیں ہٹ کر جگہ دیں,ہارن دیں,تیز ہوجائیں,B,
بارش میں سڑک زیادہ پھسل کیوں ہوتی ہے؟,پانی اور مٹی کی تہہ,ٹائر نیا ہو,روشنی زیادہ ہو,درخت ہوں,A,
گاڑی کا سائلنسر ٹوٹا ہو تو کیا مسئلہ؟,آواز تیز,گاڑی غائب,فیول ختم,گیئر ٹوٹ,A,
موڑ پر گاڑی الٹنے کی وجہ؟,آہستہ رفتار,مناسب رفتار سے زیادہ اسپیڈ,انڈیکیٹر چلانا,شیشہ کھولنا,B,
اگر کار گرم ہو رہی ہو تو؟,مزید چلائیں,رک کر چیک کریں,تیز چلائیں,ہارن دیں,B,
ڈرائیونگ کے دوران سائیڈ میرر کب ایڈجسٹ کریں؟,چلتی گاڑی میں,گاڑی چلانے سے پہلے,موڑ کاٹتے وقت,پارک کرتے وقت,B,
گاڑی کھڑی کرتے وقت ٹائر کس طرف موڑیں؟,ہمیشہ بائیں,ہمیشہ دائیں,سڑک کی ڈھلوان کے مطابق,اوپر کی طرف,C,
بچوں کیلئے کار سیٹ کیوں ضروری ہے؟,آواز کم,تحفظ زیادہ,گاڑی تیز,شیشہ صاف,B,
کسی بھی حادثے کے بعد کیا کرنا چاہیئے؟,چلے جائیں,رک کر مدد کریں,گاڑی تیز کریں,اوورٹیک کریں,B,
رات کے وقت سائیکل سواروں کو دیکھنا کیوں مشکل ہوتا ہے؟,آواز نہیں,روشنی کم,گاڑی مشکل,ٹائر نئے,B,
سپیڈ بریکر کا مقصد کیا ہے؟,گاڑی روکنا,رفتار کم کرانا,گیئر بدلوانا,ٹائر سخت کرنا,B,
گاڑی میں سیٹ بیلٹ نہ پہننے کا نقصان؟,چوٹ کا خطرہ,گاڑی بند,ٹائر گرم,شیشہ ٹوٹ,A,
کم ہوا والے ٹائر سے کیا مسئلہ؟,کنٹرول کم,رفتار زیادہ,انجن زیادہ,ہارن بند,A,
بہت زیادہ فیول بھرنے سے کیا ہو سکتا ہے؟,ٹینک لیک,گاڑی غائب,ٹائر گرم,گیئر بند,A,
کھڑی گاڑی میں انجن زیادہ دیر آن رکھنے سے؟,فیول ضائع ہوتا ہے,رفتار بڑھتی ہے,ٹائر نرم ہوتے ہیں,انڈیکیٹر چلتا ہے,A,
ڈرائیور کا سڑک پر ہاتھ نکال کر اشارہ دینا؟,قانونی خطرہ,حفاظتی طریقہ,فیول بچت,ٹائر گرم,A,
گہرے پانی سے گزرتے وقت کیا خطرہ ہے؟,گاڑی اڑ جائے,انجن میں پانی آسکتا ہے,ٹائر پگھل جائیں,گیئر ٹوٹ,B,
اگر بریک اچانک فیل ہو جائیں تو؟,گاڑی چھوڑ دیں,کم گیئر اور ہینڈ بریک استعمال کریں,تیز چلائیں,ہارن دیں,B,
رات میں ڈرائیونگ کے دوران کون سی چیز مشکل ہوتی ہے؟,ٹائر دیکھنا,گہرائی کا اندازہ,موسیقی سننا,اے سی چلانا,B,
گاڑی کے ٹائر کی ہوا زیادہ ہو تو؟,پکڑ کمزور,رفتار کم,گیئر جام,لائٹس بند,A,
ہارن کا صحیح استعمال کب ہے؟,غصے میں,خطرے کے وقت,پارکنگ میں,تفریح کیلئے,B,
گاڑی میں فالتو وزن کا کیا نقصان ہے؟,گاڑی اونچی,فیول زیادہ خرچ,جہاز بنتی ہے,ٹائر غائب,B,
سڑک پر لین بدلنے سے پہلے کیا کرنا چاہیے؟,انڈیکیٹر دینا,رفتار بڑھانا,ہارن بجانا,شیشہ توڑنا,A,
جب ٹریفک پولیس رکنے کا اشارہ دے تو؟,تیز چلائیں,فوراً رکیں,ہارن دیں,پیچھے دیکھیں,B,
اگر گاڑی کے ٹائر مختلف سائز کے ہوں تو؟,کوئی فرق نہیں,کنٹرول متاثر,آواز کم,انجن بند,B,
رات میں گاڑی کی ہائی بیم کب نہیں چلانی چاہیے؟,کھلی سڑک پر,شہر میں جہاں ٹریفک ہو,گاڑی کھڑی ہو,پیٹرول پمپ پر,B,
گیئر تبدیل کرتے وقت سب سے اہم چیز کیا ہے؟,تیز رفتار,کلچ کا صحیح دباؤ,ہارن دینا,شیشہ کھولنا,B,
اگر گاڑی ایک طرف کھنچ رہی ہو تو کیا مسئلہ ہے؟,وہیل الائنمنٹ,ٹائر رنگ,گیئر نیا,انڈیکیٹر خراب,A,
ڈھلوان پر گاڑی پارک کرتے وقت کیا ضروری ہے؟,ہاتھ چھوڑ دیں,ہینڈ بریک لگائیں,اسپیڈ بڑھائیں,انڈیکیٹر چلائیں,B,
ڈرائیونگ کے دوران بار بار اچانک بریک لگانا کیوں غلط ہے؟,فیول بڑھے,حادثہ ہو سکتا ہے,ٹائر پگھل جائیں,گاڑی الٹ جائے,B,
ہارن کتنی دور تک سنائی دیتا ہے؟,محدود فاصلہ,لامحدود,صرف گاڑی میں,صرف دائیں طرف,A,
گاڑی کی سائیڈ میررز کس زاویے پر ہونے چاہئیں؟,اوپر کی طرف,ایسے کہ پچھلی سائیڈ نظر آئے,نیچے کی طرف,ڈرائیور کی کھڑکی پر,B,
سڑک پر لین کراس کرنا کب محفوظ ہوتا ہے؟,جب سامنے راستہ صاف ہو,جب گاڑیاں قریب ہوں,جب انڈیکیٹر نہ لگایا ہو,جب رفتار تیز ہو,A,
گاڑی کی لائٹس میں پانی آجائے تو؟,اوور ہٹ کریں,خشک کریں یا تبدیل کریں,بجلی بند ہو جاتی ہے,ٹائر پنکچر ہو جاتا ہے,B,
ہیڈ ریسٹ کا اصل مقصد کیا ہے؟,لک زیادہ آئے,گریباں سے بچاؤ,ٹکر کے وقت گردن کو بچانا,گاڑی تیز کرنا,C,
ڈرائیونگ کے دوران غصہ کیوں خطرناک ہے؟,ٹائر پھٹتے ہیں,فیصلے غلط ہو سکتے ہیں,روشنی بڑھتی ہے,موسیقی رک جاتی ہے,B,
گاڑی کا ٹرننگ ریڈیئس کس پر اثر انداز ہوتا ہے؟,موڑ کاٹنے کی صلاحیت,رفتار,فیول,شیشہ,A,
پہاڑی راستوں میں سب سے زیادہ استعمال ہونے والا گیئر کون سا ہے؟,اونچا گیئر,نیچا گیئر,نہیں لگتا,کوئی بھی,B,
اگر اگلا ٹائر پنکچر ہو جائے تو؟,تیز چلائیں,رفتار کم اور محفوظ جگہ روکیں,اوورٹیک کریں,گاڑی بند کریں,B,
اگر انجن آئل زیادہ ہو جائے تو؟,گاڑی تیز,سیل لیک,انجن کو نقصان,ٹائر گرم,C,
ڈرائیونگ کے دوران فاصلہ نہ رکھنے سے کیا خطرہ ہے؟,گاڑی اونچی,پچھلی گاڑی ٹوٹے,ریئر اینڈ ٹکر کا خطرہ,لائٹس بند,C,
لاپروائی سے ڈرائیونگ کس جرم میں آتی ہے؟,پارکنگ,ٹریفک خلاف ورزی,گاڑی صاف نہ کرنا,ایئرکن بند کرنا,B,
سڑک پر ’’اسکڈنگ‘‘ کس وجہ سے ہوتی ہے؟,اچھی پکڑ,پھسلن اور زیادہ رفتار,کم ہوا,انجن بند,B,
اگر ایکسیلیٹر پھنس جائے تو کیا کریں؟,رفتار بڑھائیں,نیچے گیئر لگائیں اور بریک کریں,ہارن دیں,شیشہ کھولیں,B,
گاڑی میں وائپر فلویڈ کی کمی سے کیا ہوتا ہے؟,شیشہ صاف نہیں ہوتا,انجن گرم,بریک نرم,ٹائر پگھل,A,
ٹریفک سگنل پر سبز بتی کا مطلب؟,رک جائیں,گاڑی تیار رکھیں,چلیں,ہارن دیں,C,
گاڑی کا کروز کنٹرول کب نہیں استعمال کرنا چاہیے؟,ہائی وے پر,بارش یا پھسلن میں,کھلی سڑک پر,سیدھے راستے پر,B,
گاڑی کا ریڈی ایٹر کن چیز سے ٹھنڈا رہتا ہے؟,آواز,پانی/کولنٹ,انڈیکیٹر,ٹائر,B,
اگر آئل فلٹر بند ہو جائے تو؟,انجن کی آواز بند,انجن پر دباؤ بڑھتا ہے,گاڑی اڑتی ہے,لائٹس جام,B,
سڑک پر ریس لگانا کیوں غلط ہے؟,مزدور ناراض ہوتے ہیں,حادثہ اور جان کا خطرہ,ٹائر پھٹتے ہیں,گاڑی کی آواز ختم,B,
اگر گاڑی آگے نہیں بڑھ رہی تو سب سے پہلے کیا چیک کریں؟,لائٹس,گیئر پوزیشن,ٹائر رنگ,سیٹ بیلٹ,B,
پیچھے سے کسی گاڑی میں روشنی چمکے تو مطلب؟,گاڑی غائب,ڈرائیور سست,اوورٹیک کرنے کا اشارہ,موڑ کا اشارہ,C,
سگنل پر پیلی بتی کا مطلب؟,تیزی سے جائیں,ہلکا بریک اور تیاری,گاڑی بند کریں,سیٹ ایڈجسٹ کریں,B,
ٹائر کی گرپ کس چیز سے بہتر ہوتی ہے؟,ہوا کم,مناسب ہوا اور tread واضح,شیشہ صاف,فیول,A,
اگر سڑک پر پانی جمع ہو تو اپنی رفتار؟,بڑھائیں,کم کریں,نہ بدلیں,دوگنی کریں,B,
گاڑی میں اے بی ایس کب زیادہ فائدہ دیتا ہے؟,بارش اور پھسلن میں,خشک موسم,پارکنگ,اسٹارٹ کرتے وقت,A,
ڈرائیونگ کے دوران توجہ بٹنے کی بنیادی وجہ؟,موبائل,ہارن,شیشہ,گئر,A,
ڈرائیونگ میں ’’ڈیڈ اینگل‘‘ کیا ہوتا ہے؟,گاڑی کے پیچھے,شیشہ ٹوٹا,وہ جگہ جہاں نظر نہیں جاتی,روشنی کم,C,
اگر روڈ پر کوئی گاڑی بار بار لین بدل رہی ہو؟,اس کے پیچھے چپک جائیں,فاصلہ رکھیں,ہارن بجائیں,اوورٹیک کریں,B,
گاڑی کا سسپنشن نظام کس کیلئے ہے؟,گاڑی اونچی,سفر آرام دہ,گیئر تبدیل,انڈیکیٹر ٹھیک,B,
ڈرائیور کو وقت پر نیند نہ آ رہی ہو تو؟,تیز چلائیں,گاڑی روک کر آرام کریں,موسیقی اونچی,ہارن دیں,B,
اگر ٹریفک میں آگے فائر بریگیڈ ہو تو کیا کریں؟,سامنے آجائیں,راستہ دیں,اوورٹیک کریں,روشنی آف کریں,B,
پارکنگ میں گاڑیوں کے درمیان کتنا فاصلہ ہونا چاہیے؟,ایک انچ,محفوظ گزر کی جگہ,کوئی نہیں,جہاں جگہ ہو,B,
انجن کی غیر معمولی آواز کا مطلب؟,فیول زیادہ,کوئی مسئلہ ہوسکتا ہے,ٹائر نرم,لائٹس خراب,B,
گاڑی کے ٹائر گرم کیوں ہوتے ہیں؟,رگڑ اور رفتار,انجن آئل,موسیقی,روشنی,A,
اگر اسٹیئرنگ بہت سخت ہو جائے تو؟,ٹائر پنکچر,پاور اسٹیئرنگ آئل کم,وائپر خراب,شیشہ گندا,B,
ڈرائیونگ کے دوران کمزور بریک کا مطلب؟,فیول کم,بریک آئل کم یا پیڈ خراب,ٹائر بڑے,شیشہ نیا,B,
گاڑی کے شیشے اندر سے دھندلا کیوں ہوتے ہیں؟,انجن گرم,نمی اور درجہ حرارت کا فرق,ٹائر گرم,گیئر خراب,B,
بائیک سوار کو سب سے زیادہ خطرہ کب ہوتا ہے؟,بند روڈ پر,تیز رفتار گاڑیوں میں,پیٹرول پمپ پر,پارکنگ میں,B,
اسپیڈ ناپنے کا آلہ کیا کہلاتا ہے؟,فیول میٹر,اسپیڈومیٹر,ٹائر گِیج,گیئر سینسر,B,
کون سی ڈرائیونگ سب سے زیادہ فیول بچاتی ہے؟,ہر وقت اسپیڈ,نرم ایکسیلیریشن,ہارن بجانا,اونچا گیئر چھوڑ دینا,B,
گاڑی کے ٹائر کم از کم کتنے ملی میٹر ٹریڈ ہونے چاہئیں؟,0mm,1mm,1.6mm,5mm,C,
اگر گاڑی کا اے سی چل رہا ہو تو انجن پر کیا اثر پڑتا ہے؟,گاڑی اُڑتی ہے,انجن پر لوڈ بڑھتا ہے,ٹائر گرم,گیئر جام,B,
